Subject,Course ID,Course Title,Course Description,Credits
African Studies,AFST_V 410,Seminar in African Art,Key debates in the art of Africa and the African diaspora. Equivalency: ARTH 410 This course is not eligible for Credit/D/Fail grading.,	3
African Studies,AFST_V 450,African Diasporic Culture in African Canadian Communities,"African diasporic culture in Canadian society, fostering dialogue with members of African Canadian communities on cultural values, traditions, memory, adaptation and change. Subscribe to AFST_V Course Descriptions Introduction Courses by Subject Courses by Faculty/School/College UBC Academic Calendar Vancouver Campus 2016 1874 East Mall Vancouver,                  BC                  Canada V6T 1Z1 The University of British Columbia About UBC Contact UBC About the University News Events Careers Make a Gift Search UBC.ca UBC Campuses Vancouver Campus Okanagan Campus UBC Sites Robson Square Centre for Digital Media Faculty of Medicine Across BC Emergency Procedures | Terms of Use | UBC Copyright | Accessibility to top Calendar Sections Home Dates and Deadlines Academic Year Admissions Fees Establishment and Constitution Campus-wide Policies and Regulations Services, Facilities, and Organizations Research Units, Centres, and Institutes UBC Library Faculties, Colleges, and Schools Alternative Study Options Course Descriptions Emeriti Staff Enrolment Statistics 2023/24 Calendar History Calendar Archive Contact Us UBC Crest The official logo of the University of British Columbia. Urgent Message An exclamation mark in a speech bubble. Caret An arrowhead indicating direction. Arrow An arrow indicating direction. Arrow in Circle An arrow indicating direction. Arrow in Circle An arrow indicating direction. Chats Two speech clouds. Facebook The logo for the Facebook social media service. Information The letter 'i' in a circle. Instagram The logo for the Instagram social media service. Linkedin The logo for the LinkedIn social media service. Location Pin A map location pin. Mail An envelope. Menu Three horizontal lines indicating a menu. Minus A minus sign. Pencil A pencil indicating that this is editable. Telephone An antique telephone. Plus A plus symbol indicating more or the ability to add. Search A magnifying glass. Twitter The logo for the Twitter social media service. Youtube The logo for the YouTube video sharing service.",	3-6
American Sign Language,ASL_V 100,American Sign Language and Deaf Culture I,"An introduction to understanding and producing American Sign Language. Emphasizes core grammar and vocabulary, contextual use, connection between language and Deaf culture. For students new to ASL.",	3
American Sign Language,ASL_V 101,American Sign Language and Deaf Culture II,"Skills in using ASL in a range of social contexts. Training in grammar and vocabulary that builds fluency, and in using the language appropriately for meaningful interactions with members of the Deaf community. For students with basic ASL conversational ability. Prerequisite: ASL 100. or by placement. Subscribe to ASL_V Course Descriptions Introduction Courses by Subject Courses by Faculty/School/College UBC Academic Calendar Vancouver Campus 2016 1874 East Mall Vancouver,                  BC                  Canada V6T 1Z1 The University of British Columbia About UBC Contact UBC About the University News Events Careers Make a Gift Search UBC.ca UBC Campuses Vancouver Campus Okanagan Campus UBC Sites Robson Square Centre for Digital Media Faculty of Medicine Across BC Emergency Procedures | Terms of Use | UBC Copyright | Accessibility to top Calendar Sections Home Dates and Deadlines Academic Year Admissions Fees Establishment and Constitution Campus-wide Policies and Regulations Services, Facilities, and Organizations Research Units, Centres, and Institutes UBC Library Faculties, Colleges, and Schools Alternative Study Options Course Descriptions Emeriti Staff Enrolment Statistics 2023/24 Calendar History Calendar Archive Contact Us UBC Crest The official logo of the University of British Columbia. Urgent Message An exclamation mark in a speech bubble. Caret An arrowhead indicating direction. Arrow An arrow indicating direction. Arrow in Circle An arrow indicating direction. Arrow in Circle An arrow indicating direction. Chats Two speech clouds. Facebook The logo for the Facebook social media service. Information The letter 'i' in a circle. Instagram The logo for the Instagram social media service. Linkedin The logo for the LinkedIn social media service. Location Pin A map location pin. Mail An envelope. Menu Three horizontal lines indicating a menu. Minus A minus sign. Pencil A pencil indicating that this is editable. Telephone An antique telephone. Plus A plus symbol indicating more or the ability to add. Search A magnifying glass. Twitter The logo for the Twitter social media service. Youtube The logo for the YouTube video sharing service.",	3
Anatomy,ANAT_V 392,Gross Anatomy of the Limbs and Trunk,Lectures and laboratory sessions on the human gross and functional anatomy of the limbs and trunk. The course includes the study of predissected specimens. For credit only in the Department of Physical Therapy.,	4
Anatomy,ANAT_V 393,Human Anatomy for Physical Therapy Students,Microscopic systems anatomy and regional anatomy of the nervous system. [3-0-0] Prerequisite: Registration in Rehabilitation Sciences (RSPT) is required.,	4
Anatomy,ANAT_V 425,Elements of Neuroanatomy,An introduction to the structure of the human nervous system. Given only in conjunction with PHYL 425. (Open to Medical and Dental students only.),	4
Anatomy,ANAT_V 501,Microscopic Human Anatomy,An advanced lecture and laboratory course in the microscopic structure of the human body. This course is not eligible for Credit/D/Fail grading.,	6
Anatomy,ANAT_V 504,Cell Structure and Function,Seminar discussions of current topics in vertebrate cell biology. This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 505,General Cytological Biophysics,An examination of selected properties of the cell and underlying mechanisms based on the ultrastructure of the cell and on the physical chemistry of open systems. This course is not eligible for Credit/D/Fail grading.,	6
Anatomy,ANAT_V 510,Neuroanatomy,The gross and microscopic study of the nervous system in man. This course is not eligible for Credit/D/Fail grading.,	4
Anatomy,ANAT_V 511,Fundamentals of Body Design: Basic Principles in Human Anatomy as Illustrated by the Organization of the Back and Upper Limb,This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 512,Functional Human Anatomy of Head and Neck Systems,This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 513,"Functional Human Anatomy of the Respiratory, Cardiovascular and Gastrointestinal Systems of the Thorax and Abdomen",This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 514,Functional Human Anatomy of the Urogenital Systems: Pelvis and Perineum,This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 515,"Functional Human Anatomy of the Musculoskeletal Systems: Back, Limbs and Joints",This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 516,Functional Human Neuroanatomy: Central Nervous System,This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 517,"Functional Human Microscopic Anatomy: Basic Tissues, Organs and Systems",This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 527,Muscle Biophysics,Selected topics in muscle contraction at an advanced level Permission of Head required. Equivalency: PHYL530 This course is not eligible for Credit/D/Fail grading.,	3
Anatomy,ANAT_V 550,Current Topics in the Morphological Sciences,"Lectures, demonstrations, discussions and student seminars on selected and current topics in cell biology and the anatomical sciences. Attendance is required of all M.Sc. and Ph.D. students in Anatomy & Cell Biology. [1-0-0] Prerequisite: Students must be registered in graduate-level studies in Anatomy & Cell Biology. This course is not eligible for Credit/D/Fail grading.",	3
Anatomy,ANAT_V 590,"Introduction to Functional Human Anatomy: Survey of Microscopic Anatomy, Neuroanatomy and Gross Anatomy",This course is not eligible for Credit/D/Fail grading.,	6
Ancient Mediterranean and Near Eastern Studies,AMNE_V 101,Greek and Latin Roots of English,"Greek and Latin roots of English vocabulary and grammar, with an introduction to language history and Greek and Roman culture. Credit will be granted for only one of CLST 101 or AMNE 101.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 151,Greek and Roman Mythology,Greek and Roman mythology and its interpretation. Emphasis on ancient texts read in English translation. Credit will be granted for only one of CLST 105 or AMNE 151.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 160,"Introduction to Religions: Judaism, Christianity, Islam","An overview of the foundational texts, histories, and contemporary expressions of Judaism, Christianity, and Islam. Key concepts and approaches used in the study of religion. Credit will be granted for only one of RELG 101, AMNE 160, or RGST 160. Equivalency: RGST 160",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 170,"Temples, Tombs, and Tyrants: The Archaeology of the Middle East, Greece, and Rome","The rise of civilizations, cultural interconnections, and power dynamics in the ancient Middle East (including Egypt), Greece, and Rome (10,000 BCE - 300 CE). Archaeological methods and interpretation, and analysis of ancient artifacts in UBC collections. Credit will be granted for only one of CNRS 104 or AMNE 170.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 200,Approaching the Ancient Mediterranean & Near East,"Orientation to the peoples, places, and traditions of the ancient Mediterranean and Near East, and to analyzing different forms of source material (historical, literary, archaeological) from different perspectives.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 215,Ancient Greece,A survey of the ancient Greek world from the Minoan and Mycenaean (about 2000-1000 BCE) to the Hellenistic Period (323-30 BCE). Credit will be granted for only one of CLST 231 or AMNE 215.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 216,Ancient Rome,A survey of the ancient Roman world from the foundation of the city to the death of Constantine. Credit will be granted for only one of CLST 232 or AMNE 216.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 225,"Gladiators, Games, and Spectacle in the Greek and Roman World","History, development, and social function of various forms of spectacle in ancient Greece and Rome, from the Olympic games to the Roman arena. Credit will be granted for only one of CLST 260 or AMNE 225.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 235,Greek Philosophy I,"The Pre-Socratics; Socrates; Sophists; Plato. Recommended as preparation for AMNE 236/PHIL 212 and PHIL 310. Credit will be granted for only one of CLST 211, AMNE 235 or PHIL 211. Equivalency: PHIL211",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 236,Greek Philosophy II,"Aristotle; selections from Hellenistic and Late Antique Philosophy. Recommended as preparation for PHIL 310 and PHIL 311. Credit will be granted for only one of CLST 212, AMNE 236 or PHIL 212. Equivalency: PHIL212",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 251,Near Eastern and Biblical Mythology,"An introduction to the world of Near Eastern mythology, from the Gilgamesh Epic to the Book of Genesis and beyond. Credit will be granted for only one of RELG 201 or AMNE 251.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 260,Scriptures of the Near East,"An introduction to the scriptures of Judaism, Christianity, and Islam. Credit will be granted for only one of RELG 203 or AMNE 260.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 261,Eden to Exile: Introduction to the Hebrew Bible,"An overview of the Hebrew Bible (Old Testament), with emphasis on its ancient Near Eastern context; its competing religious perspectives; and its limits as a historical source. Credit will be granted for only one of RELG 209 or AMNE 261.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 262,Introduction to Judaism and its Texts,"What is Judaism? An overview of the key texts that have defined the Jewish religion, from the Hebrew Bible through works of contemporary thinkers. Recommended as a basis for upper-level courses in religious studies. Credit will be granted for only one of RELG 206 or AMNE 262.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 264,The New Testament and Early Christianity,"The origins of Christianity as reflected in the New Testament and contemporaneous literature. Credit will be granted for only one of RELG 316, AMNE 264, or AMNE 367.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 265,History of Christianity to 800 CE,An introduction to the history of Christianity from its origins with Jesus through the coronation of Charlemagne as Roman Emperor in 800 CE.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 278,The Archaeology of Life and Death in the Roman Empire,"The lives of non-elite individuals and groups living under the Roman Empire, seen through material evidence and its interpretation. Identity, urbanism, economy, agriculture, diet, religion, Romanization, and burial. CNRS 104, AMNE 170 or ARCL 203 recommended as preparation. Credit will be granted for only one of CNRS 206 or AMNE 278.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 279,Byzantium: Arts of an Empire,"Art, architecture, and material culture of the Byzantine Empire situated in the eastern Mediterranean (c. 300-1453); focus on social and cultural contexts of artistic production, including interactions with neighboring cultures. Credit will be granted for only one of CNRS 207, AMNE 279 or ARTH 210. Equivalency: ARTH210",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 300,Uses and Abuses of Antiquity,"Modern receptions and engagements with literature, history, philosophy, religion, archaeology, and art of the ancient Mediterranean and Near East with a focus on public writing. Prerequisite: Second-year standing or higher. AMNE 200 is recommended.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 301,The Technical Terms of Medicine and Biological Science,"Acquaints the student with the Greek and Latin elements from which most specialized terms of modern medicine are constructed. Intended primarily for students planning to enter the medical, pharmaceutical, or biological sciences. Credit will be granted for only one of CLST 301 or AMNE 301.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 306,Ancient Technology: Greece and Rome,"The origins, achievements, and social impacts of applied technology in the Greek and Roman world from the Bronze Age to Late Antiquity (c. 1500 BCE - 400 CE), with special attention to archaeological evidence. Credit will be granted for only one of CLST 306 or AMNE 306.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 311,Prehistoric Egypt,A survey of the development and evolution of prehistoric humans and their material culture in Egypt from the Lower Paleolithic to the Chalcolithic. Credit will be granted for only one of NEST 311 or AMNE 311.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 312,History of Ancient Egypt,"History and culture of Ancient Egyptian civilization from political, intellectual, social and environmental perspectives. Credit will be granted for only one of NEST 303 or AMNE 312.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 314,Early Empires of the Ancient Middle East,A history from 3100-333 BC with emphasis on Mesopotamia. Credit will be granted for only one of NEST 301 or AMNE 314.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 316,The Athenians and their Empire,"The sources (literary, epigraphical and other) for Athens' emergence as one of the two leading city-states in late archaic and classical Greece and the stages by which her empire grew. Credit will be granted for only one of CLST 355 or AMNE 316. Prerequisite: One of CLST 231, AMNE 215.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 317,Alexander the Great and his Empire,"The rise of Macedon under Philip II leading to its domination of Greece and the overthrow of the Persian Empire by his son, Alexander; the subsequent spread of Greek civilization in the East. Credit will be granted for only one of CLST 356 or AMNE 317. Prerequisite: One of CLST 231, AMNE 215.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 318,The Roman Republic,"Rome from the foundation to the Augustan settlement. Constitutional development; the workings and failure of the Republican political system; acquisition and growth of Empire; the political, social, and economic consequences of imperialism. Credit will be granted for only one of CLST 352 or AMNE 318. Prerequisite: One of CLST 232, AMNE 216.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 319,The Early Roman Empire,"Roman imperial history during the Julio-Claudian and Flavian periods (30 BC-96 AD). Credit will be granted for only one of CLST 353 or AMNE 319. Prerequisite: One of CLST 232, AMNE 216.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 320,Topics in Ancient Mediterranean and Near Eastern History and Culture,"Selected topics in the history and culture of the ancient Mediterranean, Near East and/or Egypt.",	3-6
Ancient Mediterranean and Near Eastern Studies,AMNE_V 323,Slavery in the Ancient Greek and Roman World,"The study and history of slavery in the Greek and Roman worlds as a political, legal, economic, social, and cultural phenomenon. Credit will be granted for only one of CLST 320 or AMNE 323.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 324,"Women in the Bronze Age, Classical Greek and Hellenistic Cultures","The images projected in mythology, literature, and art are compared with realities of women's lives insofar as they can be reconstructed from historical, legal, and archaeological records. Credit will be granted for only one of CLST 311 or AMNE 324.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 325,Women in the Roman World of Republican and Imperial Times,"Women in the Roman world in the culture of the Republic and the Empire. Literary, artistic, and mythological sources are compared and contrasted to historical, legal, and archaeological records. Credit will be granted for only one of CLST 312 or AMNE 325.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 326,Ancient Greek Warfare,"Ancient Greek methods and tactics of war plus underlying social, religious and philosophical concepts relating to warfare, through sources in translation. Credit will be granted for only one of CLST 329 or AMNE 326.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 327,The Roman Army,Rome's military from the early Republic to the Imperial period. Topics range from those of a military nature such as equipment and strategy to social topics such as policing and marriage of soldiers. Credit will be granted for only one of CLST 319 or AMNE 327.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 331,Jewish Law,"History, sources, theoretical issues and current state of research about early Jewish legal traditions, focusing on close readings of classic primary texts in English translations. Credit will be granted for only one of RELG 335 or AMNE 331.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 332,Greek Law,"The study of Greek legal theory, practice, and institutions from their origin in self-help, through the early lawgivers and their codes, to the developed system of Athens in the fifth and fourth centuries. A variety of test cases from the works of the Greek orators will be explored. Credit will be granted for only one of CLST 307 or AMNE 332.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 333,Roman Law,"The development of Roman private law during the classical period with special attention to family law, contract and delict. Credit will be granted for only one of CLST 308 or AMNE 333.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 340,Topics in Ancient Mediterranean and Near Eastern Literature and Ideas,"Selected topics in the literature, ideas, and arts of the ancient Mediterranean, Near East and/or Egypt.",	3-6
Ancient Mediterranean and Near Eastern Studies,AMNE_V 341,"Sex, Lies, and Violence in the Hebrew Bible","An exploration of the Bible's dark side, with emphasis on texts that center on sex, deceit, and murder. Credit will be granted for only one of RELG 307 or AMNE 341.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 342,Translating the Bible,"Key issues involved in translating the Bible, with attention to gender, sexuality, race, ethnicity, religion, and colonialism.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 345,Greek Epic,"Homer's Iliad and Odyssey, in translation. Credit will be granted for only one of CLST 313 or AMNE 345. Prerequisite: Second-year standing or above.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 346,Latin Epic,"The development of the epic genre in Latin, with detailed study of Vergil's Aeneid, Ovid's Metamorphoses, and Lucan's Civil War, in translation. Credit will be granted for only one of CLST 314 or AMNE 346. Prerequisite: Second-year standing or above.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 347,Classical Comedy,"The plays of the Greek and Roman comic dramatists: Aristophanes, Menander, Plautus and Terence, in translation. Credit will be granted for only one of CLST 318 or AMNE 347. Prerequisite: Second-year standing and above.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 348,Classical Tragedy,"The plays of the Greek and Roman tragic dramatists, in translation. Credit will be granted for only one of CLST 317 or AMNE 348. Recommended pre-requisite: One of CLST 105, AMNE 151. Restricted to students with second year standing or higher.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 351,Religion in Ancient Egypt,"A survey of the religious beliefs, cults, and religious institutions in Pharaonic Egypt. Credit will be granted for only one of NEST 312 or AMNE 351.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 355,Greek Religion,A survey of both traditional and exoteric religious practices from the Archaic to the Hellenistic period. Some knowledge of ancient Greece is recommended. Credit will be granted for only one of CLST 333 or AMNE 355.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 356,Roman Religion,"Roman religions between the ninth century BCE and the fourth century CE, including mystery religions, magic, emperor worship, and early Christianity, with particular attention devoted to the primary sources. Some knowledge of ancient Rome is recommended. Credit will be granted for only one of CLST 334 or AMNE 356.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 360,Topics in Ancient Mediterranean and Near Eastern Religion,"Selected topics on the religions of the ancient Mediterranean, Near East and/or Egypt.",	3-6
Ancient Mediterranean and Near Eastern Studies,AMNE_V 361,The Origins of Judaism,"Surveys the history of Jews and Judaism in the Second Temple era, from the destruction of the First Jerusalem Temple (586 B.C.E.) to the beginnings of the rabbinic movement (200 C.E.). Credit will be granted for only one of RELG 330 or AMNE 361.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 363,"Talmud, Midrash and the Rabbinic Imagination","The Talmud, Midrash, and other late-antique (3rd - 7th centuries) rabbinic writings, focusing on biblical interpretation and narratives. Credit will be granted for only one of RELG 308 or AMNE 363.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 364,"Magic, Prophecy, and Divination in the Biblical World","Textual, contextual, and comparative exploration of the reciprocal relations between gods and people in the Hebrew Bible, Near Eastern ritual texts, and ancient experience.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 366,The Origins of Christianity,The origins of Christianity as reflected in early Christian literature of the first and early second centuries (including the New Testament). Credit will be granted for only one of RELG 317 or AMNE 366.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 368,Paul and the Making of Christianity,"Study of the controversial figure of Paul of Tarsus: his writings, impact, and reception, with attention to the contexts of ancient Judaism and the Roman Empire. AMNE 264 or previous experience reading the New Testament is recommended. Credit will be granted for only one of RELG 415, AMNE 368, or AMNE 464.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 369,Jesus: Between History and Literature,"The figure of Jesus, his teachings, and his reception through literary and contextual analysis of the canonical and apocryphal gospels. Recommended: AMNE 264 or previous experience reading the New Testament. Credit will be granted for only one of RELG 414, AMNE 369, or AMNE 463.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 370,Topics in Ancient Mediterranean and Near Eastern Archaelogy,"Selected topics on the art, archaeology and/or architecture of the ancient Mediterranean, Near East and/or Egypt.",	3-6
Ancient Mediterranean and Near Eastern Studies,AMNE_V 371,Ancient Egypt: The Archaeology of the Land of the Pharaohs,"The material remains of the ancient Egyptians from monumental tombs and temples to the artifacts of daily life; the development of Egyptian civilization from the rise of the first rulers to its incorporation into the Roman Empire. Credit will be granted for only one of NEST 304, AMNE 371 or ARTH 325. Equivalency: ARTH325",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 372,The Archaeology of Ancient Iraq and Syria: Babylon and Beyond,"An overview of the archaeology of the ancient Near East, with special emphasis on the civilizations of Mesopotamia, from the appearance of the first cities (c. 3400 BCE) to the end of the Persian period (c. 330 BCE). AMNE 170 recommended as preparation. Credit will be granted for only one of NEST 319, AMNE 372 or ARTH 319. Equivalency: ARTH319",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 373,Archaeology and the Bible,The impact of archaeological research on understanding the history and religion of ancient Israel. Credit will be granted for only one of RELG 306 or AMNE 373.,	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 376,Greek Art and Architecture,"The visual culture of the ancient Greek world in the second and first millennia BCE, especially from c. 1000 to 30 BCE. Credit will be granted for only one of CLST 331, AMNE 376 or ARTH 331. Equivalency: ARTH 331",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 377,Roman Art and Architecture,"The visual culture of the ancient Roman world from the 8th century BCE to the 4th century CE. Credit will be granted for only one of CLST 332, AMNE 377 or ARTH 332. Equivalency: ARTH 332",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 379,Art and the Religious Transformation of the Late Roman Empire,"Visual culture and religious diversity of the Late Roman Empire (2nd-7th c.); social, political, and religious contexts of art, including diverse viewing practices and cultural frameworks. Credit will be granted for only one of CNRS 333, AMNE 379 or ARTH 310. Equivalency: ARTH 310",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 381,Theories of Myth,"Origins, nature, and transmission of myth in the Western tradition, with particular attention devoted to the interpretation of myth from ancient times up to the present. Some background in myth is recommended. Credit will be granted for only one of CNRS 370 or AMNE 381.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 382,Egyptomania,"The adaptation and appropriation of ancient Egypt in ancient and modern art, architecture, film, and music; the development of Egyptology since the 19th century. Credit will be granted for only one of NEST 318 or AMNE 382.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 383,Modern Jewish Ethics in Historical Perspective,"Readings from key texts in English translation, tracing how Jewish approaches to ethical issues evolved from biblical times to the present. Credit will be granted for only one of RELG 313 or AMNE 383.",	3
Ancient Mediterranean and Near Eastern Studies,AMNE_V 391,Introduction to Middle Egyptian,Language of Ancient Egypt and the main literary texts composed during the Middle Kingdom. Credit will be granted for only one of NEST 313 or AMNE 391.,	3
